organism,drug,drug_class,investment_usd,pipeline_count,surveillance_count
Mycobacterium tuberculosis,Bedaquiline,Diarylquinolines,180000000,12,8
Klebsiella pneumoniae,Ceftazidime/Avibactam,Beta-lactam/beta-lactamase inhibitor combinations,120000000,8,6
Pseudomonas aeruginosa,Ceftolozane/Tazobactam,Beta-lactam/beta-lactamase inhibitor combinations,95000000,7,5
Acinetobacter baumannii,Sulbactam/Durlobactam,Beta-lactam/beta-lactamase inhibitor combinations,85000000,6,4
Klebsiella pneumoniae,Meropenem/Vaborbactam,Beta-lactam/beta-lactamase inhibitor combinations,80000000,6,5
Escherichia coli,Ceftazidime/Avibactam,Beta-lactam/beta-lactamase inhibitor combinations,75000000,5,6
Pseudomonas aeruginosa,Aztreonam/Avibactam,Beta-lactam/beta-lactamase inhibitor combinations,55000000,5,4
Acinetobacter baumannii,Cefiderocol,Cephalosporins,50000000,4,3
Klebsiella pneumoniae,Cefiderocol,Cephalosporins,48000000,4,4
Escherichia coli,Meropenem,Carbapenems,40000000,3,5
Enterobacter cloacae,Ceftazidime/Avibactam,Beta-lactam/beta-lactamase inhibitor combinations,38000000,3,3
Haemophilus influenzae,Amoxicillin/Clavulanate,Beta-lactam/beta-lactamase inhibitor combinations,30000000,2,4
Acinetobacter baumannii,Colistin,Polymyxins,15000000,2,2
Pseudomonas aeruginosa,Colistin,Polymyxins,14000000,2,2
Klebsiella pneumoniae,Colistin,Polymyxins,12000000,1,2
Stenotrophomonas maltophilia,Trimethoprim/Sulfamethoxazole,Folate pathway inhibitors,10000000,1,1
Neisseria gonorrhoeae,Ceftriaxone,Cephalosporins,9000000,1,3
Enterobacter cloacae,Colistin,Polymyxins,8000000,1,1
Stenotrophomonas maltophilia,Cefiderocol,Cephalosporins,5000000,1,1
Neisseria gonorrhoeae,Azithromycin,Macrolides,4000000,0,2
Acinetobacter baumannii,Meropenem,Carbapenems,3000000,0,1
Klebsiella pneumoniae,Ciprofloxacin,Fluoroquinolones,3000000,0,2
Pseudomonas aeruginosa,Ciprofloxacin,Fluoroquinolones,2500000,0,1
Escherichia coli,Ciprofloxacin,Fluoroquinolones,2000000,0,2
